chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000014,BR_00000001,23,0030118641-000010,0030118641-000010,0030118641-000010,BR_00000001,actual_transition,22.03,1200.0,0.4,700.0,840.0,DC51D+Z,,,,,,,75,03,2026-05-31
initial-000014,BR_00000001,24,0030123916-000010,0030123916-000010,0030123916-000010,BR_00000006,actual_transition,23.0,1200.0,0.4,700.0,840.0,DC51D+Z,,,,,,,76,03,2026-06-30
initial-000014,BR_00000001,25,0002002055-000080,0002002055-000080,0002002055-000080,BR_00000001,normal_real,5.45,1150.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,,77,03,2026-05-31
initial-000014,BR_00000001,26,0002002055-000040,0002002055-000040,0002002055-000040,BR_00000001,normal_real,346.03,1150.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,,78,03,2026-05-31
initial-000014,BR_00000001,27,0002002054-000040,0002002054-000040,0002002054-000040,BR_00000001,normal_real,36.52,1150.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,,79,03,2026-05-31
initial-000014,BR_00000001,28,0030125168-000050,0030125168-000050,0030125168-000050,BR_00000006,normal_real,24.0,1145.0,0.4,700.0,840.0,DC51D+Z,,,,,,,80,03,2026-06-30
initial-000014,BR_00000001,29,0030123654-000010,0030123654-000010,0030123654-000010,BR_00000006,normal_real,48.0,1066.0,0.5,715.0,735.0,DX51D+Z1,,,,,,,81,03,2026-06-30
initial-000014,BR_00000001,30,0030118641-000020,0030118641-000020,0030118641-000020,BR_00000001,actual_transition,6.04,1000.0,0.4,700.0,840.0,DC51D+Z,,,,,,,82,03,2026-05-31
initial-000014,BR_00000001,31,0030123916-000020,0030123916-000020,0030123916-000020,BR_00000006,actual_transition,23.0,1000.0,0.4,700.0,840.0,DC51D+Z,,,,,,,83,03,2026-06-30
initial-000016,BR_00000001,0,0030125207-000060,0030125207-000060,0030125207-000060,BR_00000006,normal_real,24.0,1589.0,0.7,770.0,810.0,DC51D+Z,,,,,,,84,04,2026-06-30
