chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000004,BR_00000001,0,0002002193-000020,0002002193-000020,0002002193-000020,BR_00000006,normal_real,260.0,1640.0,0.8,830.0,850.0,DC53D+Z,,,,,,,99,04,2026-06-30
initial-000004,BR_00000001,1,0030123646-000010,0030123646-000010,0030123646-000010,BR_00000006,normal_real,12.0,1620.0,0.7,830.0,850.0,SCG4+Z,,,,,,,100,04,2026-06-30
initial-000004,BR_00000001,2,0002002170-000320,0002002170-000320,0002002170-000320,BR_00000006,normal_real,23.0,1515.0,0.7,830.0,850.0,DC53D+Z,,,,,,,101,04,2026-06-30
initial-000004,BR_00000001,3,0030123255-000020,0030123255-000020,0030123255-000020,BR_00000006,normal_real,46.0,1500.0,0.65,820.0,840.0,HC180BD+Z,,,,,,,102,04,2026-06-30
initial-000004,BR_00000001,4,0030123256-000030,0030123256-000030,0030123256-000030,BR_00000006,normal_real,46.0,1490.0,0.65,820.0,840.0,HC180BD+Z,,,,,,,103,04,2026-06-30
initial-000004,BR_00000001,5,0030118966-000010,0030118966-000010,0030118966-000010,BR_00000001,normal_real,31.64,1488.0,0.65,830.0,850.0,DC56D+Z,,,,,,,104,04,2026-05-31
initial-000004,BR_00000001,6,0002002176-000150,0002002176-000150,0002002176-000150,BR_00000006,normal_real,23.0,1470.0,0.65,830.0,850.0,DC53D+Z,,,,,,,105,04,2026-06-30
initial-000004,BR_00000001,7,0002002170-000010,0002002170-000010,0002002170-000010,BR_00000006,normal_real,23.0,1470.0,0.65,830.0,850.0,DC53D+Z,,,,,,,106,04,2026-06-30
initial-000004,BR_00000001,8,0030123936-000020,0030123936-000020,0030123936-000020,BR_00000006,normal_real,327.94,1465.0,0.7,830.0,850.0,SCG4+Z,,,,,,,107,04,2026-06-30
initial-000004,BR_00000001,9,0030123143-000010,0030123143-000010,0030123143-000010,BR_00000006,normal_real,52.0,1455.0,0.7,830.0,850.0,SCG4+Z,,,,,,,108,04,2026-06-30
initial-000004,BR_00000001,10,0030123936-000010,0030123936-000010,0030123936-000010,BR_00000006,normal_real,182.0,1440.0,0.7,830.0,850.0,SCG4+Z,,,,,,,109,04,2026-06-30
initial-000004,BR_00000001,11,0002002184-000030,0002002184-000030,0002002184-000030,BR_00000006,normal_real,23.0,1440.0,0.65,830.0,850.0,DC53D+Z,,,,,,,110,04,2026-06-30
initial-000004,BR_00000001,12,0002002176-000110,0002002176-000110,0002002176-000110,BR_00000006,normal_real,35.0,1418.0,0.65,830.0,850.0,DC53D+Z,,,,,,,111,04,2026-06-30
initial-000004,BR_00000001,13,0030124683-000030,0030124683-000030,0030124683-000030,BR_00000006,normal_real,48.0,1410.0,0.8,830.0,850.0,DC56D+Z,,,,,,,112,04,2026-06-30
initial-000004,BR_00000001,14,0030123143-000020,0030123143-000020,0030123143-000020,BR_00000006,normal_real,104.0,1390.0,0.7,830.0,850.0,SCG4+Z,,,,,,,113,04,2026-06-30
initial-000004,BR_00000001,15,0030119866-000010,0030119866-000010,0030119866-000010,BR_00000001,normal_real,27.97,1385.0,0.6,830.0,850.0,DC54D+Z,,,,,,,114,04,2026-05-31
initial-000004,BR_00000001,16,0030124199-000010,0030124199-000010,0030124199-000010,BR_00000006,normal_real,26.0,1385.0,0.6,830.0,850.0,DC54D+Z,,,,,,,115,04,2026-06-30
initial-000004,BR_00000001,17,0030123425-000020,0030123425-000020,0030123425-000020,BR_00000006,normal_real,130.0,1360.0,0.65,830.0,850.0,SCG4+Z,,,,,,,116,04,2026-06-30
